name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,icon,sound id,sound id drop,plugin,plugin params,desc,order,
Crimson Stellar Cube,Cube_Crimson,Cargo_target,Crimson Treasure,5,600,1000,1,graphics/icons/cargo/Crimson.png,ui_cargo_raremetals,ui_cargo_raremetals_drop,data.campaign.Cube_Crimson,,"A mysterious cube containing unimaginable energy. Without proper utilization methods, it might simply serve as a crimson-glowing desk lamp. However, this particular cube seems to possess a unique built-in function?",0,
Cluster of Crimson Stellar Cubes,Cube_Crimson10,Cargo_target,Crimson Treasure,5,5000,1000,1,graphics/icons/cargo/Crimson10.png,ui_cargo_raremetals,ui_cargo_raremetals_drop,data.campaign.Cube_Crimson10,,"The shrine is filled with these strange cubes... Elis doesn't seem to mind bulk purchases. She even offers... discounts?",0.1,
Deep Blue Stellar Cube,Cube_DeepBlue,Cargo_target,Crimson Treasure,5,600,1000,1,graphics/icons/cargo/DeepBlue.png,ui_cargo_raremetals,ui_cargo_raremetals_drop,data.campaign.Cube_Deepblue,,"A mysterious cube containing unimaginable energy. Without proper utilization methods, it might simply serve as a blue-glowing desk lamp. However, this particular cube seems to possess a unique built-in function?",0.2,
Cluster of Deep Blue Stellar Cubes,Cube_DeepBlue10,Cargo_target,Crimson Treasure,5,5000,1000,1,graphics/icons/cargo/DeepBlue10.png,ui_cargo_raremetals,ui_cargo_raremetals_drop,data.campaign.Cube_Deepblue10,,"The shrine is filled with these strange cubes... Elis doesn't seem to mind bulk purchases. She even offers... discounts?",0.3,
Mist-Shrouded Stellar Cube,Cube_DenseFog,Cargo_target,Crimson Treasure,5,600,1000,1,graphics/icons/cargo/DenseFog.png,ui_cargo_raremetals,ui_cargo_raremetals_drop,data.campaign.Cube_DenseFog,,"A mysterious cube containing unimaginable energy. Without proper utilization methods, it might simply serve as a violet-glowing desk lamp. However, this particular cube seems to possess a unique built-in function?",0.4,
Cluster of Mist-Shrouded Stellar Cubes,Cube_DenseFog10,Cargo_target,Crimson Treasure,5,5000,1000,1,graphics/icons/cargo/DenseFog10.png,ui_cargo_raremetals,ui_cargo_raremetals_drop,data.campaign.Cube_DenseFog10,,"The shrine is filled with these strange cubes... Elis doesn't seem to mind bulk purchases. She even offers... discounts?",0.5,
Ritual Card,Crad_GongShi,,Crimson Treasure,5,50000,1000,0,graphics/icons/cargo/CradB.png,ui_chip_pickup,ui_bp_package_drop,data.GongShi.Crad_GongShi,,This is you!,1,
Ritual Card,Crad_G,,Crimson Treasure,5,50000,1000,0,graphics/icons/cargo/CradB.png,ui_chip_pickup,ui_bp_package_drop,data.GongShi.Crad_G,,This is you!,1,
Ritual Card,Crad_S,,Crimson Treasure,5,50000,1000,0,graphics/icons/cargo/CradB.png,ui_chip_pickup,ui_bp_package_drop,data.GongShi.Crad_S,,This is you!,1,
Ritual Card,Crad_A,,Crimson Treasure,5,50000,1000,0,graphics/icons/cargo/CradB.png,ui_chip_pickup,ui_bp_package_drop,data.GongShi.Crad_A,,This is you!,1,

Mystic Violet Ring Spirit Key,Wthc_cargo,,Crimson Treasure,,100,1,0,graphics/icons/cargo/CradPlayer.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,data.scripts.cargo.URA_cargo,,"A mysterious card that suddenly appeared in your possession, likely a gift from the Crimson Lords. This ""Ring Spirit Key"" appears to temporarily connect you to a subspace network called the Ring Spirit Realm. The back bears an incomprehensible ID above your name. Regardless, it now belongs to you.",0,

Spear Collection,LanceCollect,,Crimson Treasure,5,500,1000,100,graphics/icons/cargo/Lance.png,ui_cargo_raremetals,ui_cargo_raremetals_drop,data.campaign.LanceCollect,,"A bundle of preserved weapons in stasis...",0,
Primordial Refit Blueprint,WIE_bp,,Primordial Refit,5,20000,1000,1,graphics/icons/cargo/blueprint_witch.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,WIE_bp,"Enables heavy industrial facilities to produce weapons from the Primordial Refit designs. Weapons modified by Rika, the Primordial Witch, are often bold yet practical variants of common Persean armaments.",299.1
Thunder March Blueprint,TD_bp,,Primordial Refit,5,20000,1000,1,graphics/icons/cargo/blueprint_witch.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,TD_bp,"Enables production of Thunder March designs - weapons based on Thor Batteries. Modified by Rika with even bolder designs that abandon practicality.",299.2
Dust Experiment Blueprint,WDust_bp,,Dust Experiments,5,20000,1000,1,graphics/icons/cargo/blueprint_witch.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,WDust_bp,"Enables production of Dust Experiment weapons and fighters. Designed by Dust Witch Nazeer, these push physics limits while maintaining lethality, though their wild aesthetics limit appeal to only the most daring captains.",299.3
Stellar Sync Blueprint,SS_bp,,Dust Experiments,5,20000,1000,1,graphics/icons/cargo/blueprint_witch.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,SS_bp,"Enables production of Stellar Sync designs. Nazeer's creations challenge physical limits with devastating results, though their radical forms demand equally bold commanders.",299.3
Rosarium Design Blueprint,RIE_bp,,Rosarium Designs,5,20000,1000,1,graphics/icons/cargo/blueprint_witch.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,RIE_bp,"Enables production of Rosarium ships and fighters. Jointly designed by three witches, these vessels feature unique tactical systems ill-suited for conventional Persean warfare.",299.4
Pale Legacy Blueprint,RIEB_bp,,Pale Legacy,5,20000,1000,1,graphics/icons/cargo/blueprint_witch.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,RIEB_bp,"Enables production of Pale Legacy ships. Under mysterious intervention from the Pale King, these modified RIE vessels sacrifice crew safety and versatility for immense combat potential.",299.5
Deceptively Ordinary Scepter,mace_EC,,Primordial Refit,5,500,1000,1,graphics/icons/cargo/mace_EC.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Mace_Ec,,"A crude-looking scepter likely crafted by a witch. While appearing mundane, your instincts suggest it might conceal power from an artistically-challenged creator.",0,

Pale Ring Spirit Key,Crad_B1,Cargo_target,Crimson Treasure,5,0,1000,0,graphics/icons/cargo/CradB2.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_B1,,"An eerie, surreal card... No sane Persean would willingly carry this...",0,
Pale Ring Spirit Key,Crad_B2,Cargo_target,Crimson Treasure,5,0,1000,0,graphics/icons/cargo/CradB.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_B2,,"An eerie, surreal card... No sane Persean would willingly carry this...",0,
Pale Ring Spirit Key,Crad_B3,Cargo_target,Crimson Treasure,5,0,1000,0,graphics/icons/cargo/CradB2.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_B3,,"An eerie, surreal card... No sane Persean would willingly carry this...",0,
Pyrocontract,Crad_HNB,,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradAL.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Hanabi,,"A terminal card containing personnel data. This special contract allows its bearer to temporarily recruit a pyrotechnician via Stellar Dust Teleportation - despite the subject's refusal to disclose information.",1,

Aesthetically Pleasing Storage Chip,Page_Blue,,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/chip6.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Page_Blue,,An ordinary data chip common throughout the Persean Sector - even they use these ubiquitous devices for information storage.,1,
Ceremonial Storage Chip,Page_Cm,,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/chip1.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Page_Cm,,An ordinary data chip common throughout the Persean Sector - even they use these ubiquitous devices for information storage.,1,
Slightly Radioactive Storage Chip,Page_Dust,,Dust Experiments,5,500,1000,0,graphics/icons/cargo/chip2.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Page_Dust,,An ordinary data chip common throughout the Persean Sector - even they use these ubiquitous devices for information storage.,1,
Sophisticated Storage Chip,Page_Ie,,Primordial Refit,5,500,1000,0,graphics/icons/cargo/chip4.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Page_Ie,,An ordinary data chip common throughout the Persean Sector - even they use these ubiquitous devices for information storage.,1,
Sweet-Scented Storage Chip,Page_Elf,,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/chip5.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Page_Elf,,An ordinary data chip common throughout the Persean Sector - even they use these ubiquitous devices for information storage.,1,
Pale Storage Chip,Page_Ba,,Pale Legacy,5,500,1000,0,graphics/icons/cargo/chip3.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Page_Ba,,"A blurred, unreal-looking chip that somehow remains functional. Who knows what strange data it contains?",1,
Azure Storage Chip,Page_Zoo,,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/chip7.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Page_Zoo,,An ordinary data chip common throughout the Persean Sector - even they use these ubiquitous devices for information storage.,9,

Ring Spirit Key of Dread?,Crad_Dali,,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradDM.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Dali,,FearFearFearFearFearFearFearFear,1,

Abyssal Blue Ring Spirit Key,Crad_RRA4,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradRRA2.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_RRA4,,"This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically, these living legends can unleash terrifying battlefield potential.",0,
Radiant Ring Spirit Key,Crad_IE4,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradIE2.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_IE4,,This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Ashen Ring Spirit Key,Crad_Cross4,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradCross2.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Cross4,,This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Viridian Ring Spirit Key,Crad_SSoul4,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradSSoul2.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_SSoul4,,This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Crimson Ring Spirit Key,Crad_Dust4,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradDust2.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Dust4,,This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Amber Ring Spirit Key,Crad_Elf4,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradElf2.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Elf4,,This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,

Abyssal Blue Ring Spirit Key,Crad_RRA3,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradRRA.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_RRA3,,This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Radiant Ring Spirit Key,Crad_IE3,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradIE.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_IE3,,This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Ashen Ring Spirit Key,Crad_Cross3,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradCross.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Cross3,,This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Viridian Ring Spirit Key,Crad_SSoul3,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradSSoul.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_SSoul3,,This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Crimson Ring Spirit Key,Crad_Dust3,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradDust.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Dust3,,This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Amber Ring Spirit Key,Crad_Elf3,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradElf.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Elf3,,This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Cerulean Ring Spirit Key,Crad_YueBen3,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradYueBen2.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_YueBen3,,This Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Verdant Ring Spirit Key,Crad_SuDan3,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradSuDan2.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_SuDan3,,This Key connects to an... unconventional entity. Proper application might unleash devastatingly comedic battlefield effects.,0,

Crimson Ring Spirit Key EX,Crad_Dust3EX,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradDustEX.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Dust3EX,,This enhanced Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Viridian Ring Spirit Key EX,Crad_SSoul3EX,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradSSoulEX.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_SSoul3EX,,This enhanced Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Amber Ring Spirit Key EX,Crad_Elf3EX,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradElfEX.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Elf3EX,,This enhanced Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Abyssal Blue Ring Spirit Key EX,Crad_RRA3EX,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradRRAEX.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_RRA3EX,,This enhanced Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Radiant Ring Spirit Key EX,Crad_IE3EX,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradIEEX.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_IE3EX,,This enhanced Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,
Ashen Ring Spirit Key EX,Crad_Cross3EX,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradCrossEX.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_Cross3EX,,This enhanced Ring Spirit Key connects you to a genuine Witch who will provide limited assistance. When deployed strategically these living legends can unleash terrifying battlefield potential.,0,

Abyssal Blue Ring Spirit Key,Crad_RRA2,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradRRA.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_RRA2,,"Upon picking up this Key, overwhelming willpower floods your mind... You must experience the memory fragments stored within this data card firsthand.",0,
Radiant Ring Spirit Key,Crad_IE2,Cargo_target,Crimson Treasure,5,500,1000,0,graphics/icons/cargo/CradIE.png,ui_chip_pickup,ui_bp_package_drop,data.campaign.Card.Crad_IE2,,"Upon picking up this Key, overwhelming willpower floods your mind... You must experience the memory fragments stored within this data card firsthand.",0,
