id,type,text1,text2,text3,text4,notes
#Weapons
WthC_Marching,WEAPON,"An experimental product that applies a single Gauss capacitor to a triple railgun array, capable of continuously firing lightweight Gauss projectiles. However, the lightweight rails also reduce the weapon's destructive power and range.

High-speed, precise, long-range, and relatively energy-efficient, this versatile kinetic weapon can even deal significant damage to lightly armored targets. It represents the most important general-purpose artillery in the gradually resurging fleet combat doctrine.",,,,
WthC_Thundersuite,WEAPON,"A bold quad-mounted magnetic gravity projectile launcher capable of unleashing massive damage in an instant. Modifications to the micro-capacitor projectiles allow for variations in destructive power and EMP effectiveness across different models. The Prologue version excels in EMP disruption and firing rate, though its projectile damage is weaker.

As most would guess, this so-called Thunder Suite is simply two scaled-down Thor cannons combined, even using projectiles of the same caliber. The only difference lies in the charging time.

So why was this somewhat ambiguous weapon designed, finalized, and produced in three different variants? Perhaps the wealthy young lady just has a penchant for unique toys...",,,,
WthC_Thundersuitemid,WEAPON,"A bold quad-mounted magnetic gravity projectile launcher capable of unleashing massive damage in an instant. Modifications to the micro-capacitor projectiles allow for variations in destructive power and EMP effectiveness across different models. The Interlude version strikes a balance between EMP disruption, damage, and firing rate.

As most would guess, this so-called Thunder Suite is simply two scaled-down Thor cannons combined, even using projectiles of the same caliber. The only difference lies in the charging time.

So why was this somewhat ambiguous weapon designed, finalized, and produced in three different variants? Perhaps the wealthy young lady just has a penchant for unique toys...",,,,
WthC_Thundersuiteend,WEAPON,"A bold quad-mounted magnetic gravity projectile launcher capable of unleashing massive damage in an instant. Modifications to the micro-capacitor projectiles allow for variations in destructive power and EMP effectiveness across different models. The Finale version fires the most destructive projectiles but has weaker EMP disruption and a slower firing rate.

As most would guess, this so-called Thunder Suite is simply two scaled-down Thor cannons combined, even using projectiles of the same caliber. The only difference lies in the charging time.

So why was this somewhat ambiguous weapon designed, finalized, and produced in three different variants? Perhaps the wealthy young lady just has a penchant for unique toys...",,,,
WthC_Thundertearcannon,WEAPON,"Fires a massive magnetic gravity projectile capable of causing a localized gravitational collapse, often instantly disabling or destroying the target upon impact. However, this monstrous experimental modification limits its installation to only the largest ships.

Despite the weapon's devastating power, the designer considered it a crude product born from cramming more energy into a larger projectile. For someone who spent her life pursuing higher energy efficiency, this was not a masterpiece worth praising.

Still, the thrill of using it to obliterate targets is always exhilarating for the crew... or perhaps they're just relieved that such a monstrous projectile isn't coming from the enemy.",,,,
WthC_gonggonq,WEAPON,"A Vulcan variant with an additional barrel. Fires a rapid wave of projectiles to overwhelm any fighters or missiles within range. The use of lighter projectiles also increases the weapon's range.

Although the original Vulcan is considered a pure point-defense weapon with some tactical utility, its variant, the Gonggonq, often doesn't perform as described—""firing a rapid wave of projectiles to overwhelm any fighters or missiles within range."" Instead, it excels at quickly depleting the shields of nearby enemy ships.

This deceptive tactical tendency can sometimes yield unexpected results on the battlefield.",,,,
WthC_gonggonqarray,WEAPON,"An array version born from the Gonggonq's excellent battlefield performance. While doubling the firepower enhances defensive capabilities, it also increases flux pressure.

Like its smaller counterpart, the Gonggonq Array is better suited as a compromise shield-breaking tool. Even if each projectile isn't particularly threatening, few ships can maintain their shields under such a relentless barrage.",,,,
WthC_LiLancecrimson,WEAPON,"""Long before she created the first star, she possessed the power to destroy it...""","-""Crimson Lord"" Shilya Crimson",,,
WthC_LiLancedeepblue,WEAPON,"""The light that symbolizes the beginning is always the element closest to the end...""","-""Primordial Witch"" Rika Primordial",,,
WthC_LiLancedeepblue2,WEAPON,"""No matter how turbulent the undercurrents, they appear as mere ripples on the surface...""","-""Gazing Demon"" Iris Requickbard",,,
WthC_LiLancepale,WEAPON,"""When the darkness forcibly imposed on fate is stripped away, the pure form of all life will be revealed...""","-""Pale King"" Lovinya Blast",,,
WthC_RuneBreathe,WEAPON,"""Wisdom and skill are important, but in the end, only power decides everything...""",-"-""Dust Witch"" Nazel Dust",,,
WthC_StarryEmbellishment,WEAPON,"""The stars will eventually perish, but before that, they will burn brightly in their glorious lives...""",-"-""Dust Witch"" Nazel Dust",,,
WthC_Starrynode,WEAPON,"""And so... she plucked the first star, the beginning of the eternal cycle.""","-""Crimson Lord"" Shilya Crimson",,,
WthC_starsnode,WEAPON,"""Behold... the dazzling stars are the epics they left behind as they perished.""","-""Cross Witch"" Rosalia Cross",,,
WthC_RecitationCeremony,WEAPON,"""Beneath the sacred one's luxurious appearance lies the purest essence...""","-""Cross Witch"" Rosalia Cross",,,
WthC_TwinMovement,WEAPON,"""As the sigils dance... the notes rise and fall, and that world will welcome another group of lost wanderers.""","-""Soul Witch"" Su",,,
WthC_DestinyTrack,WEAPON,"""Fate is often the only path you must tread, a road of no return...""","-""Pale King"" Lovinya Blast",,,
WthC_JokeAg,WEAPON,"""Don't worry... as long as the theoretical limit is written in the data, they'll willingly install this overly advanced piece of art~""","-""Crimson Lord"" Shilya Crimson",,,
WthC_streamneedler,WEAPON,"A product born from reinterpreting the Light Needler... while becoming harder to use, it also possesses terrifying burst potential.

In truth... this weapon is just a regular Light Needler with no substantial differences... just a new coat of paint and a less common magazine-fed firing mechanism?

Perhaps the higher deployment cost is simply due to the extra effort required to load each projectile into this weapon.",,,,
WthC_blazingassault,WEAPON,"A sister weapon to the Blazing Assault Cannon, created by cramming a large amount of explosive charge into a small-caliber barrel. Like other weapons born from Dust experiments, it is extreme. With support from other weapons, even as a small weapon, it can easily pierce heavy armor.

Interestingly, the description makes it seem like a milestone in material compression, but firing a projectile twice the barrel's diameter is still impossible.

In reality, this weapon is essentially a small phase node, with all projectiles being teleported from another acceleration field. More interestingly, sometimes this teleportation process has minor hiccups, causing projectiles from another weapon to appear in a near-superimposed state.

While this unstable phenomenon, which defies many laws of physics, is unsettling, it does have a positive impact on the battlefield.",,,,
WthC_ForthrightMoon,WEAPON,"A sister weapon to the Blazing Assault Cannon, firing heavier solid projectiles instead, delivering repeated blows to shields and light armor.

Interestingly, the description makes it seem like a milestone in material compression, but firing a projectile twice the barrel's diameter is still impossible.

In reality, this weapon is essentially a small phase node, with all projectiles being teleported from another acceleration field. More interestingly, sometimes this teleportation process has minor hiccups, causing projectiles from another weapon to appear in a near-superimposed state.

While this unstable phenomenon, which defies many laws of physics, is unsettling, it does have a positive impact on the battlefield.",,,,
WthC_stormveil,WEAPON,"An improved version of the Heavy Autocannon with explosive charges added to its projectiles. The simultaneous firing mechanism also slightly mitigates the excessive recoil.

Numerous battlefield examples have shown that the Heavy Autocannon, a design dating back to the age of surface warships, is not well-suited for space. Thus, the creation of the Stormveil Autocannon was more of a redemption journey.

And the result of all these efforts? It seems such weapons are destined to be swept into the dustbin of history.",,,,
WthC_magnificentfire,WEAPON,"A heavily redesigned version of the Heavy Mauler, capable of piercing the thickest armor in a few shots, but at the cost of losing its impressive range advantage.

In truth, this weapon has little in common with the Heavy Mauler. The designer merely mimicked the appearance of the so-called prototype, while the actual principles are entirely different.

On rare occasions, the people of the Persean Sector wish for a common medium weapon to deal with overly thick armor, allowing kinetic projectiles of similar range to quickly tear apart the ship's internal structure. The Magnificent Fire Heavy Cannon is exactly what they dreamed of.",,,,
WthC_BreezeTacticalLaser,WEAPON,"A truly tactically valuable beam suppression weapon. While it deals almost no real damage, it is highly functional.

Most in the Persean Sector prefer to marvel at the technical brilliance of graviton beams, remaining skeptical of their battlefield performance. However, this pure pursuit of knowledge has always been the nature of the Primordial Witch. Soon after, this small, lightweight version was born. Though when finalizing the blueprint, the master from another field realized that opening dimensional rifts was such a trivial matter.",,,,
WthC_MicroNodeBeam,WEAPON,"A point-defense weapon that is truly better than nothing. From every angle, it resembles a more aesthetically pleasing Mining Laser. But let's face it... your ship will always need plenty of these, won't it?

According to a survey by a Tri-Tachyon employee on a batch of samples obtained from a certain cube, these so-called Denial Nodes are simply Mining Lasers stuffed into white casings. And due to the poorly designed heat dissipation, their energy efficiency is worse...

Unsurprisingly, the employee expressed strong personal condemnation of this act of technological plagiarism from beyond the Sector.",,,,
WthC_MicroNodeBeam-A,WEAPON,"A beam weapon that is truly better than nothing. From the perspective of modern naval doctrine, it's purely decorative. But perhaps some captains just don't want any empty weapon slots on their ships?

Many in the Persean Sector who have seen these decorative weapons wonder what they actually fire, as something that can cause minor damage without directly connecting to the ship's weapon systems is quite novel. In reality, these weapons are just cheap micro phase nodes, inefficiently gathering and firing energy leaking from somewhere... or something.

While this beam can easily tear through most organic matter, as an anti-ship weapon... it can't even threaten any LPCs seen in this era. Yet, oddly, many captains adore this seemingly useless weapon... Could this strange phenomenon mean the manufacturers added some kind of psychological effect to these white casings?",,,,
WthC_LittleNodeBeam-A,WEAPON,"A beam weapon that is truly better than nothing. From the perspective of modern naval doctrine, it's purely decorative. But perhaps some captains just don't want any empty weapon slots on their ships? Not even a relatively large one?

Many in the Persean Sector who have seen these decorative weapons wonder what they actually fire, as something that can cause minor damage without directly connecting to the ship's weapon systems is quite novel. In reality, these weapons are just cheap micro phase nodes, inefficiently gathering and firing energy leaking from somewhere... or something.

While this beam can easily tear through most organic matter, as an anti-ship weapon... it can't even threaten any LPCs seen in this era. Yet, oddly, many captains adore this seemingly useless weapon... Could this strange phenomenon mean the manufacturers added some kind of psychological effect to these white casings?",,,,
