name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite,sModDesc,order,
Crimson Modification - Origin,crimsonmodificationie,3,,Crimson Gift,"req_spaceport, special, no_drop, no_drop_salvage",Special,20000,,,,10,20,30,45,data.hullmods.WthC_CrimsonModification_IE,"A mysterious starship retrofit package that fundamentally alters a vessel's combat characteristics through comprehensive modifications.

Each Crimson Modification integrates complete stellar consciousness protocols, as if legendary Witches were directly controlling ship systems...

However, this holistic design requires enormous fitting space and can only be installed on larger vessels due to its radical structural changes.",One of the universal Crimson Refits,graphics/hullmods/ie.png,"Forcing this module into S-mod slot causes severe maintenance issues:

Monthly supply consumption increased by %s 

Minimum crew requirement increased by %s 

Flux required for shield upkeep increased by %s ",,
Crimson Modification - Rosetta,crimsonmodificationrra,3,,Crimson Gift,"req_spaceport, special, no_drop, no_drop_salvage",Special,20000,,,,10,20,30,45,data.hullmods.WthC_CrimsonModification_RRA,"A mysterious starship retrofit package that fundamentally alters a vessel's combat characteristics through comprehensive modifications.

Each Crimson Modification integrates complete stellar consciousness protocols, as if legendary Witches were directly controlling ship systems...

However, this holistic design requires enormous fitting space and can only be installed on larger vessels due to its radical structural changes.",One of the universal Crimson Refits,graphics/hullmods/rra.png,"Forcing this module into S-mod slot causes severe maintenance issues:

Monthly supply consumption increased by %s 

Minimum crew requirement increased by %s 

Hull integrity reduced by %s ",,
Crimson Modification - Dust,crimsonmodificationdust,3,,Crimson Gift,"req_spaceport, special, no_drop, no_drop_salvage ",Special,20000,,,,10,20,30,45,data.hullmods.WthC_CrimsonModification_Dust,"A mysterious starship retrofit package that fundamentally alters a vessel's combat characteristics through comprehensive modifications.

Each Crimson Modification integrates complete stellar consciousness protocols, as if legendary Witches were directly controlling ship systems...

However, this holistic design requires enormous fitting space and can only be installed on larger vessels due to its radical structural changes.",One of the universal Crimson Refits,graphics/hullmods/dust.png,"Forcing this module into S-mod slot causes severe maintenance issues:

Monthly supply consumption increased by %s 

Minimum crew requirement increased by %s 

Peak operating time reduced by %s ",,
Crimson Modification - Cross,crimsonmodificationcross,3,,Crimson Gift,"req_spaceport, special, no_drop, no_drop_salvage ",Special,20000,,,,10,20,30,45,data.hullmods.WthC_CrimsonModification_Cross,"A mysterious starship retrofit package that fundamentally alters a vessel's combat characteristics through comprehensive modifications.

Each Crimson Modification integrates complete stellar consciousness protocols, as if legendary Witches were directly controlling ship systems...

However, this holistic design requires enormous fitting space and can only be installed on larger vessels due to its radical structural changes.",One of the universal Crimson Refits,graphics/hullmods/cross.png,"Forcing this module into S-mod slot causes severe maintenance issues:

Monthly supply consumption increased by %s 

Minimum crew requirement increased by %s 

Weapon durability reduced by %s ",,
Crimson Modification - Soul,crimsonmodificationssoul,3,,Crimson Gift,"req_spaceport, special, no_drop, no_drop_salvage ",Special,20000,,,,10,20,30,45,data.hullmods.WthC_CrimsonModification_SSoul,"A mysterious starship retrofit package that fundamentally alters a vessel's combat characteristics through comprehensive modifications.

Each Crimson Modification integrates complete stellar consciousness protocols, as if legendary Witches were directly controlling ship systems...

However, this holistic design requires enormous fitting space and can only be installed on larger vessels due to its radical structural changes.",One of the universal Crimson Refits,graphics/hullmods/ssoul.png,"Forcing this module into S-mod slot causes severe maintenance issues:

Monthly supply consumption increased by %s 

Minimum crew requirement increased by %s 

Shield damage taken increased by %s ",,
Crimson Modification - Elfin,crimsonmodificationelf,3,,Crimson Gift,"req_spaceport, special, no_drop, no_drop_salvage ",Special,20000,,,,10,20,30,45,data.hullmods.WthC_CrimsonModification_Elf,"A mysterious starship retrofit package that fundamentally alters a vessel's combat characteristics through comprehensive modifications.

Each Crimson Modification integrates complete stellar consciousness protocols, as if legendary Witches were directly controlling ship systems...

However, this holistic design requires enormous fitting space and can only be installed on larger vessels due to its radical structural changes.",One of the universal Crimson Refits,graphics/hullmods/elf.png,"Forcing this module into S-mod slot causes severe maintenance issues:

Monthly supply consumption increased by %s 

Minimum crew requirement increased by %s 

Ship top speed reduced by %s ",,
Ring Protocol - Soul,ringinterferessoul,3,,Crimson Gift,"req_spaceport, special, no_drop, no_drop_salvage ",Special,20000,,,,3,6,9,15,data.hullmods.WthC_RingInterfere_SSoul,"Lightweight interference protocols born from the Ring Network, designed as auxiliary systems for Crimson Modifications.

Unlike comprehensive Crimson retrofits, these protocols inject partial consciousness patterns into subsystems, improving automation with specialized tendencies.

Can be installed in multiple stages on most ships, but requires Crimson Modifications to reach full potential.",One of the Ring Interference Protocols,graphics/hullmods/ssoul_R.png,"No longer increases CR decay rate after peak time

Ship's spacetime perception significantly enhanced",,
Ring Protocol - Origin,ringinterfereie,3,,Crimson Gift,"req_spaceport, special, no_drop, no_drop_salvage ",Special,20000,,,,3,6,9,15,data.hullmods.WthC_RingInterfere_IE,"Lightweight interference protocols born from the Ring Network, designed as auxiliary systems for Crimson Modifications.

Unlike comprehensive Crimson retrofits, these protocols inject partial consciousness patterns into subsystems, improving automation with specialized tendencies.

Can be installed in multiple stages on most ships, but requires Crimson Modifications to reach full potential.",One of the Ring Interference Protocols,graphics/hullmods/ie_R.png,"No longer increases CR decay rate after peak time

Ship overload duration reduced by %s ",,
Ring Protocol - Rosetta,ringinterfererra,3,,Crimson Gift,"req_spaceport, special, no_drop, no_drop_salvage ",Special,20000,,,,3,6,9,15,data.hullmods.WthC_RingInterfere_RRA,"Lightweight interference protocols born from the Ring Network, designed as auxiliary systems for Crimson Modifications.

Unlike comprehensive Crimson retrofits, these protocols inject partial consciousness patterns into subsystems, improving automation with specialized tendencies.

Can be installed in multiple stages on most ships, but requires Crimson Modifications to reach full potential.",One of the Ring Interference Protocols,graphics/hullmods/rra_R.png,"No longer increases CR decay rate after peak time

Ship base speed increased by %s ",,
Ring Protocol - Dust,ringinterferedust,3,,Crimson Gift,"req_spaceport, special, no_drop, no_drop_salvage ",Special,20000,,,,3,6,9,15,data.hullmods.WthC_RingInterfere_Dust,"Lightweight interference protocols born from the Ring Network, designed as auxiliary systems for Crimson Modifications.

Unlike comprehensive Crimson retrofits, these protocols inject partial consciousness patterns into subsystems, improving automation with specialized tendencies.

Can be installed in multiple stages on most ships, but requires Crimson Modifications to reach full potential.",One of the Ring Interference Protocols,graphics/hullmods/dust_R.png,"No longer increases CR decay rate after peak time

Energy and ballistic weapon rate of fire increased by %s ",,
